Música,Álbum/Single,Gravação/Fonograma,Duração,Versão,Gênero,Data de lançamento,Idioma,País,ID’s nas lojas ,Território de distribuição,ISRC,Titulares da Gravação,Técnicos,Intérpretes,Músicos,Gravadoras,Selos/Distribuidora,Composição/Obra,Data de criação,ISWC,Titulares da Composição,Editora,ID’s obra,Letra,Versionista,Autores,Grupo Musical,Reprodução parcial/integral,Licenças,Associações,ECAD,Artistas
,,x,,,,,,,,,,,,x,,,,x,,,,,,,,x,,,,,,x
x,,x,,,x,x,,x,x,x,,x,x,x,x,x,x,,,,,,,,,,x,,,,,
x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,x,x,,x,,,,,x
x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,x,,,x,,,,,,,,,,,,,,,,,,,,x,,,x,x,,,
x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,x,x,,,,,,,x,x,,,,,,,x,,x,,,,,,,,,,x,,,
x,x,x,,x,,,,x,,,,,,,,,,x,,,,,,x,,,,,,,,
x,x,x,,,,,x,,x,x,,,,,,,,x,,,,,x,,,,,,,x,,
x,x,x,,,,,,x,,x,x,,,,,,x,,,x,,,x,,,,,,,,,
x,x,x,,,,x,,x,x,,,,,,,,x,,,,,,,,,,,,,x,x,
x,,x,,,,,,,x,,,,,,,,x,,,,,,,,,,,,x,x,x,
x,,x,,,,,,x,,,x,,,x,x,x,x,,,,,,,,x,x,x,,x,,,x
x,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
x,x,,,,,,,,,,,x,,,x,x,,,,,,,,,x,x,x,,,x,,x
x,x,,,,,,,,,,,x,x,x,,x,,,,,x,,,,,x,x,,,x,,x
x,x,x,,,,,,,,,,x,x,x,x,,,,,,,,,,,,x,,,x,x,
x,x,x,,,,x,,x,x,,,x,,,,,,,,,,,,,,,,,x,,,
x,,x,,,,,x,,,,,,,,,,,,x,x,x,x,x,x,,x,x,,x,,,
x,,,,,,x,,,,,,,,,,,,x,,,,,x,,,,,,x,,,x
x,,,,,,,,,,,,,,,,,,x,,,,x,x,,,,,,x,,,
x,,,,,,,,x,,,,,,x,,,,x,x,,,x,x,x,x,x,,,x,,,
x,,,,,,,,x,,,,,,,,,,x,,,x,,,,,x,,,x,x,,
x,,,,,,,,x,,,,,,,,,,x,x,x,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,x,,,,,,,x,x,,,,,,x
x,,,,x,,,,,,,,x,x,x,,,,,,,x,,,,,x,,x,,,,x
x,,,,,,,,,,,,x,,,,,,,x,,x,x,,,x,,,,x,x,,x
x,x,,,x,,,,,,,,x,x,x,x,,,,,,x,,,,x,x,,,,x,,
x,,,,,,,,,,,,,,x,,,,,,,,,,x,x,,,,x,,,
x,,x,,x,,x,,x,x,x,x,,,,,,,x,x,x,x,x,x,x,,,,x,,x,,
x,,x,,,,,,x,,x,x,x,,x,x,,x,x,,x,x,x,x,x,,x,x,,,,,
x,,x,,,,,,,x,x,x,,,,,,,,,,,x,,,,,,,,x,,
,x,x,,,,,,,,x,,x,,x,x,x,x,x,,,x,x,,x,x,x,x,,,x,,